"Date","Price","Open","High","Low","Vol.","Change %"
"11/13/2023","566.9747","558.5133","567.8076","555.2604","","1.60%"
"11/10/2023","558.0461","555.3557","560.3714","554.0595","","0.58%"
"11/09/2023","554.8010","556.2648","560.6522","553.8678","","-0.17%"
"11/08/2023","555.7555","563.0394","564.5043","553.9397","","-1.21%"
"11/07/2023","562.5783","579.0989","579.3370","562.4359","","-2.78%"
"11/06/2023","578.6681","577.8941","583.7430","577.6707","","0.13%"
"11/03/2023","577.8941","584.1828","588.9501","576.5923","","-1.08%"
"11/02/2023","584.1828","575.2869","585.0820","575.2869","","1.55%"
"11/01/2023","575.2869","576.9723","585.3546","575.2063","","-0.29%"
"10/31/2023","576.9723","579.5079","585.2321","576.0496","","-0.44%"
"10/30/2023","579.5079","591.4137","591.4137","577.7092","","-2.01%"
"10/27/2023","591.4137","582.7776","592.5203","582.4481","","1.48%"
"10/26/2023","582.7777","589.0051","589.6631","579.5515","","-1.06%"
"10/25/2023","589.0052","583.4583","589.3598","576.0732","","0.95%"
"10/24/2023","583.4583","590.7658","593.0809","580.1831","","-1.24%"
"10/23/2023","590.7658","600.3283","600.3283","590.2839","","-1.67%"
"10/20/2023","600.7975","602.4059","607.6762","599.3151","","-0.27%"
"10/19/2023","602.4060","598.9816","604.6365","591.6130","","0.57%"
"10/18/2023","598.9816","591.4033","603.6567","591.4033","","1.28%"
"10/17/2023","591.4034","591.3277","594.2663","587.4296","","0.01%"
"10/16/2023","591.3278","595.8477","598.1892","590.7311","","-0.76%"
"10/13/2023","595.8477","577.9808","596.3937","577.9190","","3.09%"
"10/12/2023","577.9808","576.4522","582.7258","574.5144","","0.13%"
"10/11/2023","577.2121","584.0607","587.6993","574.1075","","-1.35%"
"10/10/2023","585.0868","586.5717","587.6037","582.0431","","-0.43%"
"10/09/2023","587.6353","574.8590","592.4666","574.8590","","2.07%"
"10/06/2023","575.7124","572.4605","577.0748","570.4147","","0.43%"
"10/05/2023","573.2747","579.7920","581.7458","571.4019","","-1.11%"
"10/04/2023","579.7286","600.2809","601.4622","579.5717","","-3.42%"
"10/03/2023","600.2809","602.0114","602.7199","596.4890","","-0.29%"
"10/02/2023","602.0114","609.6176","613.3291","600.8456","","-1.26%"
"09/29/2023","609.6686","615.7245","621.4442","608.8004","","-0.98%"
"09/28/2023","615.7246","618.3013","623.4271","614.6562","","-0.42%"
"09/27/2023","618.3013","609.0479","619.8955","609.0479","","1.52%"
"09/26/2023","609.0479","609.1948","610.0282","601.9117","","-0.02%"
"09/25/2023","609.1948","611.2389","613.7101","605.8858","","-0.33%"
"09/22/2023","611.2389","612.0985","617.3992","609.3156","","-0.14%"
"09/21/2023","612.0985","614.4275","618.5784","608.6630","","-0.39%"
"09/20/2023","614.4681","617.5201","619.0156","611.6198","","-0.49%"
"09/19/2023","617.5201","616.9152","623.2030","616.2000","","0.10%"
"09/18/2023","616.9152","618.0502","621.2754","614.7527","","-0.18%"
"09/15/2023","618.0503","619.6288","623.5565","614.3458","","-0.25%"
"09/14/2023","619.6288","612.3114","620.7681","612.3114","","1.08%"
"09/13/2023","613.0078","611.6577","615.1845","610.5632","","0.10%"
"09/12/2023","612.3986","608.5789","613.9194","607.8686","","0.51%"
"09/11/2023","609.2780","606.3757","612.0745","603.4819","","0.38%"
"09/08/2023","606.9938","603.3144","608.9794","601.3503","","0.52%"
"09/07/2023","603.8761","605.1005","606.8634","601.9454","","-0.20%"
