,Date,Open,High,Low,Close,Adj Close,Volume,T10Y2Y,dxy,Gold,USD/CHF
0,2006-04-10,546.0,548.0,541.359985,544.159973,544.159973,484738,0.08,89.599998,601.80,1.3019
1,2006-04-11,546.559998,547.119995,538.400024,545.599976,545.599976,162138,0.05,89.639999,599.40,1.2976
2,2006-04-12,545.76001,550.47998,542.47998,542.719971,542.719971,156038,0.07,89.360001,601.30,1.2988
3,2006-04-13,540.0,551.919983,539.200012,550.559998,550.559998,70088,0.09,89.57,600.10,1.2971
4,2006-04-17,553.599976,559.200012,549.440002,558.320007,558.320007,114713,0.1,88.760002,618.80,1.2795
5,2006-04-18,560.799988,568.400024,556.559998,566.0,566.0,115338,0.15,88.68,623.30,1.2688
6,2006-04-19,564.640015,577.280029,563.919983,574.799988,574.799988,98725,0.18,87.940002,636.00,1.2668
7,2006-04-20,575.359985,577.280029,564.080017,568.719971,568.719971,105400,0.15,87.839996,623.10,1.2781
8,2006-04-21,567.119995,585.840027,566.400024,582.47998,582.47998,133225,0.11,88.290001,635.50,1.2755
9,2006-04-24,571.200012,579.599976,566.320007,568.080017,568.080017,130288,0.1,87.730003,623.90,1.2673
10,2006-04-25,573.440002,574.47998,556.960022,565.119995,565.119995,356738,0.12,87.559998,634.20,1.2675
11,2006-04-26,563.52002,566.799988,555.599976,556.320007,556.320007,112400,0.13,87.370003,642.00,1.2713
12,2006-04-27,552.799988,556.640015,548.559998,549.599976,549.599976,79450,0.18,87.269997,636.30,1.2593
13,2006-04-28,554.080017,564.0,551.919983,556.960022,556.960022,108513,0.2,86.690002,654.50,1.2387
14,2006-05-01,561.200012,573.200012,560.0,572.0,572.0,69438,0.2,85.93,660.20,1.2407
15,2006-05-02,574.719971,581.52002,570.719971,578.719971,578.719971,108875,0.2,86.18,667.40,1.2376
16,2006-05-03,579.840027,579.840027,560.0,561.76001,561.76001,126875,0.21,85.879997,668.50,1.2357
17,2006-05-04,554.960022,558.159973,538.23999,546.559998,546.559998,194688,0.19,85.910004,676.50,1.2284
18,2006-05-05,546.400024,547.76001,541.440002,544.0,544.0,83900,0.18,85.459999,684.30,1.2265
19,2006-05-08,537.039978,543.919983,530.400024,543.039978,543.039978,164038,0.15,85.089996,679.90,1.2283
20,2006-05-09,543.919983,553.440002,542.080017,547.200012,547.200012,97875,0.16,85.25,701.50,1.2201
21,2006-05-10,546.559998,558.159973,539.840027,558.159973,558.159973,88063,0.12,84.739998,705.70,1.2184
22,2006-05-11,568.0,568.400024,559.359985,562.400024,562.400024,129438,0.15,84.75,721.50,1.2136
23,2006-05-12,563.52002,563.52002,552.320007,552.880005,552.880005,75950,0.18,84.25,711.80,1.1976
24,2006-05-15,539.76001,542.159973,531.599976,533.039978,533.039978,83738,0.16,83.610001,685.00,1.2113
25,2006-05-16,536.559998,543.200012,530.47998,533.599976,533.599976,100250,0.14,84.709999,692.90,1.207
26,2006-05-17,533.359985,534.0,523.119995,525.599976,525.599976,102838,0.19,84.25,691.80,1.2154
27,2006-05-18,525.440002,534.320007,520.799988,533.919983,533.919983,82088,0.14,84.900002,680.90,1.2042
28,2006-05-19,528.0,531.679993,521.200012,524.559998,524.559998,101513,0.09,84.379997,657.00,1.2164
29,2006-05-22,519.119995,532.559998,519.119995,530.23999,530.23999,96213,0.1,84.910004,657.70,1.203
30,2006-05-23,538.0,547.359985,537.679993,542.159973,542.159973,78863,0.1,84.440002,673.70,1.2084
31,2006-05-24,537.679993,543.440002,528.400024,528.799988,528.799988,50088,0.09,84.93,637.50,1.2181
32,2006-05-25,533.440002,543.039978,530.47998,542.400024,542.400024,37538,0.09,85.029999,648.50,1.217
33,2006-05-26,539.679993,545.840027,538.640015,542.0,542.0,33688,0.1,84.669998,651.00,1.2256
34,2006-05-30,549.76001,552.640015,545.76001,546.559998,546.559998,61175,0.1,85.07,660.50,1.2108
35,2006-05-31,541.119995,543.280029,532.640015,541.840027,541.840027,58963,0.08,84.349998,649.00,1.2187
36,2006-06-01,534.719971,546.0,532.080017,534.559998,534.559998,115350,0.07,84.68,633.50,1.2212
37,2006-06-02,542.080017,553.200012,540.400024,551.200012,551.200012,55438,0.08,84.720001,641.00,1.2083
38,2006-06-05,557.52002,558.23999,547.52002,549.919983,549.919983,49150,0.03,84.059998,648.70,1.2077
39,2006-06-06,544.719971,551.599976,542.400024,550.080017,550.080017,22475,0.02,84.290001,634.70,1.2159
40,2006-06-07,546.159973,546.640015,536.080017,538.23999,538.23999,45000,0,84.839996,632.60,1.2214
41,2006-06-08,532.23999,536.960022,526.47998,536.960022,536.960022,38538,-0.01,84.970001,613.80,1.2317
